title,link,category,id,duration,Tags
photography16,https://www.douyin.com/video/7392987541571407138,photography,7392987541571407138,8,"Slow Motion, ambience"
photography17,https://www.douyin.com/video/7455988770660224316,photography,7455988770660224316,53,"PhoneCamera, PhotoTricks"
photography18,https://www.douyin.com/video/7400560902698749196,photography,7400560902698749196,48,"PhoneCamera, PhotoTricks"
photography19,https://www.douyin.com/video/7394468558039829794,photography,7394468558039829794,9,"Slow Motion, ambience"
photography20,https://www.douyin.com/video/7410453172470254885,photography,7410453172470254885,47,PhotoComposition
popular science1,https://www.douyin.com/video/7402179888674884916,popular_science,7402179888674884916,54,"Chinese tradition, Go pieces"
popular science2,https://www.douyin.com/video/7394724451310456064,popular_science,7394724451310456064,59,"science education, health knowledge"
popular science3,https://www.douyin.com/video/7393259497369734434,popular_science,7393259497369734434,30,"KnowledgeSharing, petal"
popular science4,https://www.douyin.com/video/7185846501321608509,popular_science,7185846501321608509,25,"science education, health knowledge"
popular science5,https://www.douyin.com/video/7070713579648896263,popular_science,7070713579648896263,34,"KnowledgeSharing, science education, railway"
popular science6,https://www.douyin.com/video/7413778190528777522,popular_science,7413778190528777522,31,"science education, health knowledge, earphone"
popular science7,https://www.douyin.com/video/7241516570764168504,popular_science,7241516570764168504,35,"KnowledgeSharing, diet, health"
popular science8,https://www.douyin.com/video/7380437651201084698,popular_science,7380437651201084698,42,"KnowledgeSharing, Titanic"
popular science9,https://www.douyin.com/video/7393582484438486313,popular_science,7393582484438486313,18,"Science Experiments, Chemistry"
popular science10,https://www.douyin.com/video/7216923103136386361,popular_science,7216923103136386361,10,"Tyndall effect, Healing Moment, sea"
popular science11,https://www.douyin.com/video/7376626784164416802,popular_science,7376626784164416802,31,"Science Experiments, physics"
popular science12,https://www.douyin.com/video/7386425245533605170,popular_science,7386425245533605170,24,"Science Experiments, physics"
popular science13,https://www.douyin.com/video/7402684883115461914,popular_science,7402684883115461914,24,"Science Experiments, Chemistry"
popular science14,https://www.douyin.com/video/7415511861740703014,popular_science,7415511861740703014,6,"Science Experiments, Chemistry"
popular science15,https://www.douyin.com/video/7416277000022789403,popular_science,7416277000022789403,43,"LifeHacks, KnowledgeSharing"
popular science16,https://www.douyin.com/video/7365059252173491496,popular_science,7365059252173491496,33,"KnowledgeSharing, medical science"
popular science17,https://www.douyin.com/video/7368665535954914595,popular_science,7368665535954914595,32,"KnowledgeSharing, lesson"
popular science18,https://www.douyin.com/video/7110561658321308936,popular_science,7110561658321308936,59,science education
popular science19,https://www.douyin.com/video/7357590744934206747,popular_science,7357590744934206747,42,"universe, KnowledgeSharing, Tidal force"
popular science20,https://www.douyin.com/video/7399966863867792679,popular_science,7399966863867792679,31,"science education, health knowledge"
scenery1,https://www.douyin.com/video/7407442133227031842,scenery,7407442133227031842,17,"Mountain, Natural scenery"
scenery2,https://www.douyin.com/video/7380664698217221395,scenery,7380664698217221395,15,"grassland, Natural scenery"
scenery3,https://www.douyin.com/video/7401075553723256090,scenery,7401075553723256090,8,"Mountain, Natural scenery"
scenery4,https://www.douyin.com/video/7403675333892771123,scenery,7403675333892771123,54,"AttractionsRecommend, HealingMoment"
